course_id,rating,reviewers,date_reviews
aboriginal-education,4.552238805970149,67,2017-03-22
access-control-sscp,4.466666666666667,45,2018-04-19
accounting-analytics,4.395299145299146,468,2016-01-05
accounting-data-analytics-python,3.5,8,2020-01-11
actualizacion-manejo-diabetes-tipo-2,4.845849802371541,253,2019-02-05
addiction-and-the-brain,4.5479452054794525,438,2015-08-09
addiction-treatment,4.924812030075188,133,2020-01-18
advanced-valuation-and-strategy,4.572192513368984,187,2018-09-20
agile-atlassian-jira,4.663421418636996,719,2018-08-14
ai-for-everyone,4.845112374763065,7386,2019-02-28
ai-for-medical-diagnosis,4.583657587548638,257,2020-04-16
ai-for-medical-prognosis,4.747126436781609,87,2020-04-19
algorithmic-toolbox,4.535564853556485,1912,2016-02-17
american-law,4.835374149659864,735,2015-09-13
analytics-business-metrics,4.5539617486338795,1464,2015-09-06
analytics-excel,3.71267252195734,797,2015-10-17
anatomy403-1x,4.808764940239044,251,2019-01-28
animal-welfare,4.8075,800,2015-11-02
antibiotic-stewardship,4.1891891891891895,37,2018-09-15
anticorrupcion-introduccion,4.851948051948052,385,2019-09-03
applied-data-science-capstone,4.509466437177281,581,2018-09-07
aprendiendo-a-aprender,4.919417475728156,3090,2016-02-05
aprendiendo-programar-python,4.205154639175258,970,2017-07-28
arbitration-international-disputes,4.852941176470588,102,2018-02-08
arts-heritage,4.793478260869565,184,2016-11-18
astro,4.883544303797469,790,2015-08-20
attention-models-in-nlp,3.2857142857142856,21,2020-09-25
aulaconstructivista,4.905096660808436,569,2015-08-10
autism-spectrum-disorder,4.634854771784233,482,2015-12-18
autodesk-autocad-design-drafting,4.728971962616822,321,2019-12-27
autodesk-revit-architectural-design,4.672897196261682,107,2020-01-31
aws-fundamentals-addressing-security-risk,4.162698412698413,252,2019-08-08
aws-fundamentals-going-cloud-native,4.680155210643015,1804,2018-11-18
aws-machine-learning,4.413344887348353,1154,2019-09-22
basic-statistics,4.589435774309724,833,2016-01-05
batch-data-pipelines-gcp,4.255813953488372,129,2020-01-14
bayesian-statistics,4.4484375,640,2016-07-07
bcg-uva-darden-digital-transformation,4.7994296577946765,1052,2018-02-28
becoming-a-veterinarian,4.762755102040816,392,2015-08-15
beyond-the-sustainable-development-goals-addressing-sustainability-and-development,4.672413793103448,58,2020-04-24
big-data-essentials,3.484126984126984,126,2017-10-18
big-data-introduction,4.567393458870169,2018,2016-06-15
big-history,4.786096256684492,374,2015-10-13
biohacking-your-brains-health,4.70042194092827,237,2018-08-19
bioinformatics,4.061889250814332,307,2016-03-29
blockchain-basics,4.503150315031503,1111,2018-06-01
bootstrap-4,4.813981762917933,1645,2017-07-01
brand,4.8964252978918426,1091,2018-03-22
bugs-101,4.962962962962963,297,2019-07-12
build-a-computer,4.888130968622101,733,2016-02-19
building-modern-python-applications-on-aws,5.0,1,2020-10-01
business,4.877737226277373,1096,2016-05-15
business-english-intro,4.801047120418848,573,2016-02-10
business-model,4.734939759036145,83,2016-05-12
business-transformation-google-cloud,4.718232044198895,181,2019-04-20
c-for-everyone,4.546318289786223,842,2019-11-10
c-plus-plus-white,4.729651162790698,344,2017-06-06
camino-excelencia-gestion-proyectos,4.564367816091954,1740,2016-10-02
cancer,4.803427419354839,992,2016-04-11
careerdevelopment,4.865221808330511,2953,2016-10-10
cats-and-dogs,4.769953051643192,426,2017-04-23
challenging-forensic-science,4.850746268656716,67,2019-01-02
change-management,4.3090909090909095,55,2019-10-30
chemicals-health,4.790816326530612,196,2016-07-09
child-development,4.636363636363637,44,2017-08-18
childnutrition,4.770538243626063,2118,2015-08-07
childrens-rights,4.627976190476191,336,2017-01-08
ciencia-computacao-python-conceitos,4.86892177589852,1419,2016-11-17
classical-sociological-theory,4.867961165048544,515,2015-08-17
classification-vector-spaces-in-nlp,4.402439024390244,328,2020-06-19
clinical-data-management,4.73992673992674,273,2016-07-08
clinical-research,4.8317460317460315,630,2015-12-02
clinical-terminology,4.815461346633416,401,2016-11-28
clinical-trials,4.736730360934183,471,2016-03-12
clinicalsimulations,4.8164556962025316,158,2019-07-13
cloud-azure-intro,4.285714285714286,63,2020-04-20
cloud-infrastructure-design-process,4.653916211293261,549,2017-12-17
communication-strategies-virtual-age,4.847319347319347,858,2018-08-28
community-organizing,4.53125,32,2020-04-25
company-future-management,4.842298288508557,818,2016-01-25
competencias-digitales-ofimatica,4.7855855855855856,1110,2019-07-02
competencias-lab,4.310344827586207,87,2017-05-04
computational-neuroscience,4.53932584269663,178,2016-10-03
computational-thinking-problem-solving,4.625482625482626,259,2018-10-24
computer-networking,4.628921670475795,4813,2018-01-25
construction-project-management,4.753846153846154,845,2016-09-29
contabilidad,4.763168316831683,2525,2016-11-24
contact-tracing-for-covid-19,4.796610169491525,118,2020-06-29
containerized-apps-on-aws,4.318181818181818,44,2020-05-15
contemporary-art,4.7534246575342465,292,2019-12-12
content-marketing,4.4655172413793105,812,2017-02-06
contracts-1,4.852941176470588,102,2019-01-31
contrats,4.843971631205674,141,2016-04-09
conversational-experiences-dialogflow,4.2314410480349345,229,2018-12-26
convolutional-neural-networks,3.8553750966744005,1293,2017-11-03
convolutional-neural-networks-tensorflow,4.469640644361834,807,2019-04-21
corp-sustainability,4.633333333333334,90,2018-04-16
corporate-commercial-law-part1,4.842592592592593,108,2018-07-04
corporate-finance-essentials,4.855652173913043,575,2016-02-08
corporatestrategy,4.875,144,2017-12-29
correccion-estilo-variaciones,4.736413043478261,368,2016-01-19
countering-terror-violent-extremism,4.84,25,2020-01-21
covid-19-contact-tracing-for-nursing-professionals,4.428571428571429,7,2020-08-23
covid-19-what-you-need-to-know,4.838901262063845,1347,2020-03-27
craft-of-plot,4.648854961832061,1048,2016-02-07
