course_id,provider,institution,title,subject,url,price,level,num_subscribers,num_lectures,num_reviews,rating,content_duration,language,published_timestamp
u-1070968,udemy,udemy,Ultimate Investment Banking Course,Business Finance,https://www.udemy.com/ultimate-investment-banking-course/,200,All Levels,2147,51,23,,1.5,,2017-01-18
u-1113822,udemy,udemy,Complete GST Course & Certification - Grow Your CA Practice,Business Finance,https://www.udemy.com/goods-and-services-tax/,75,All Levels,2792,274,923,,39.0,,2017-03-09
u-1006314,udemy,udemy,Financial Modeling for Business Analysts and Consultants,Business Finance,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,45,Intermediate Level,2174,51,74,,2.5,,2016-12-19
u-1210588,udemy,udemy,Beginner to Pro - Financial Analysis in Excel 2017,Business Finance,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,95,All Levels,2451,36,11,,3.0,,2017-05-30
u-1011058,udemy,udemy,How To Maximize Your Profits Trading Options,Business Finance,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,200,Intermediate Level,1276,26,45,,2.0,,2016-12-13
u-192870,udemy,udemy,Trading Penny Stocks: A Guide for All Levels In 2017,Business Finance,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,150,All Levels,9221,25,138,,3.0,,2014-05-02
u-739964,udemy,udemy,Investing And Trading For Beginners: Mastering Price Charts,Business Finance,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,65,Beginner Level,1540,26,178,,1.0,,2016-02-21
u-403100,udemy,udemy,"Trading Stock Chart Patterns For Immediate, Explosive Gains",Business Finance,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,95,All Levels,2917,23,148,,2.5,,2015-01-30
u-476268,udemy,udemy,Options Trading 3 : Advanced Stock Profit and Success Method,Business Finance,https://www.udemy.com/day-trading-stock-options-3/,195,Expert Level,5172,38,34,,2.5,,2015-05-28
u-1167710,udemy,udemy,The Only Investment Strategy You Need For Your Retirement,Business Finance,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,200,All Levels,827,15,14,,1.0,,2017-04-18
u-592338,udemy,udemy,Forex Trading Secrets of the Pros With Amazon's AWS,Business Finance,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,200,All Levels,4284,76,93,,5.0,,2015-09-11
u-975046,udemy,udemy,Trading Options With Money Flow,Business Finance,https://www.udemy.com/trading-options-using-money-flow/,200,All Levels,1380,17,42,,1.0,,2016-10-18
u-742602,udemy,udemy,Financial Management Risk and Return For Securities,Business Finance,https://www.udemy.com/risk-and-return-finance/,30,All Levels,3607,19,21,,1.5,,2016-02-03
u-794151,udemy,udemy,Forex Trading Course: Work Smarter Not Harder Proven Results,Business Finance,https://www.udemy.com/the-complete-trading-course/,195,All Levels,4061,16,52,,2.0,,2016-03-16
u-1196544,udemy,udemy,Python Algo Trading: Sentiment Trading with News,Business Finance,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,200,All Levels,294,42,19,,7.0,,2017-04-28
u-504036,udemy,udemy,Short Selling: Learn To Sell Stocks Before The Fall,Business Finance,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,75,Intermediate Level,2276,19,106,,1.5,,2015-06-22
u-719698,udemy,udemy,Basic Technical Analysis: Learn the structure of the market,Business Finance,https://www.udemy.com/learn-basic-technical-analysis/,20,Beginner Level,4919,16,79,,1.5,,2016-01-08
u-564966,udemy,udemy,The Complete Chart Pattern Trading Course: A Proven Approach,Business Finance,https://www.udemy.com/make-money-trading-stocks-from-home/,200,All Levels,2666,52,115,,4.0,,2015-08-10
u-606928,udemy,udemy,7 Deadly Mistakes of Investing that Will Slash Your Profits!,Business Finance,https://www.udemy.com/7-deadly-mistakes-of-investing/,50,All Levels,5354,23,24,,1.5,,2015-09-21
u-58977,udemy,udemy,Financial Statements Made Easy,Business Finance,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,95,Beginner Level,8095,12,249,,0.5833333333333334,,2013-06-09
